DATE,WEEKDAY,NAME,TYPE,DETAILS
11/28/2019,Thursday,Thanksgiving Day,Federal Holiday,
11/29/2019,Friday,State Holiday,State holiday,Georgia
11/29/2019,Friday,Presidents' Day,State holiday,New Mexico
11/29/2019,Friday,Lincoln's Birthday/Lincoln's Day,State holiday,Indiana
11/29/2019,Friday,Day After Thanksgiving,State holiday,20 states
11/29/2019,Friday,Family Day,State holiday,Nevada
11/29/2019,Friday,Acadian Day,State holiday,Louisiana
11/29/2019,Friday,Black Friday,Observance,
11/29/2019,Friday,American Indian Heritage Day,State holiday,Maryland
12/1/2019,Sunday,First Sunday of Advent,Christian,
12/1/2019,Sunday,Rosa Parks Day,Local observance,Ohio Oregon
12/2/2019,Monday,Cyber Monday,Observance,
12/6/2019,Friday,St Nicholas Day,Observance,
12/7/2019,Saturday,Pearl Harbor Remembrance Day,Observance,
12/8/2019,Sunday,Feast of the Immaculate Conception,Christian,
12/12/2019,Thursday,Feast of Our Lady of Guadalupe,Christian,
12/13/2019,Friday,National Guard Birthday,Observance,
12/15/2019,Sunday,Bill of Rights Day,Observance,
12/17/2019,Tuesday,Pan American Aviation Day,Observance,
12/17/2019,Tuesday,Wright Brothers Day,Observance,
12/21/2019,Saturday,December Solstice,Season,
12/23/2019,Monday,Chanukah/Hanukkah (first day),Jewish holiday,
12/24/2019,Tuesday,Christmas Eve,State holiday,KS KY MI NC ND OK SC TX VA WI
12/24/2019,Tuesday,Christmas Eve,Observance Christian,
12/24/2019,Tuesday,Washington's Birthday,State holiday,Georgia Indiana
12/25/2019,Wednesday,Christmas Day,Federal Holiday,
12/26/2019,Thursday,Kwanzaa (first day),Observance,
12/26/2019,Thursday,Day After Christmas Day,State holiday,KS NC SC TX
12/30/2019,Monday,Last Day of Chanukah,Jewish holiday,
12/31/2019,Tuesday,New Year's Eve,Observance,
12/31/2019,Tuesday,New Year's Eve,State holiday,LA MI WI
